-1
           JDAY!            LAT!            LON!          PRESS!           TEMP!             O3!             CO!            H2O!             NO!           JO1D!           JNO2!            NO2!           HCHO!           C2H6!           C3H8!         IC4H10!         NC4H10!           C2H4!           C3H6!           C5H8!          CH3OH!         C2H5OH!       CH3COCH3!            MEK!            MVK!           MACR!            PAN!           C2H2!        APINENE!        BPINENE!       LIMONENE!         IC5H12!         NC5H12!          M22C4!           CHEX!          M23C4!           M2PE!           M3PE!         NC6H14!         NC8H18!       TBUT2ENE!        BUT1ENE!      MEPROPENE!       CBUT2ENE!           C4H6!        BENZENE!        TOLUENE!          EBENZ!           MXYL!           PXYL!           OXYL!            NOx!
 2.18578500e+02! 1.60950000e+01! 5.09800000e+00! 4.65200000e+02! 2.63400000e+02! 6.33670000e-08! 8.05170000e-08! 4.64980000e-03! 3.84970000e-11! 8.72820000e-05! 1.17510000e-02! 4.83869993e-11! 2.17769996e-10! 5.62476510e-10! 3.32055668e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 5.99790009e-11! 0.00000000e+00! 0.00000000e+00! 9.99110017e-10! 0.00000000e+00! 4.16939365e-11! 1.87320593e-11! 2.37000003e-10! 0.00000000e+00! 1.59745047e-11! 1.00226945e-11! 2.17288756e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
 2.18579200e+02! 1.60250000e+01! 5.06380000e+00! 4.65190000e+02! 2.63190000e+02! 6.37190000e-08! 7.98940000e-08! 4.33780000e-03! 3.10550000e-11! 8.40050000e-05! 1.20000000e-02! 4.48139997e-11! 1.87699994e-10! 5.59308599e-10! 3.26357413e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 1.01469999e-10! 0.00000000e+00! 0.00000000e+00! 9.52889989e-10! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 2.91999980e-10! 0.00000000e+00! 1.72080683e-11! 1.04988726e-11! 2.24968551e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 6.93620031e-12! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
 2.18579900e+02! 1.59640000e+01! 5.00240000e+00! 4.65260000e+02! 2.63060000e+02! 6.49860000e-08! 8.09140000e-08! 4.27220000e-03! 3.91550000e-11! 8.29410000e-05! 1.20210000e-02! 0.00000000e+00! 2.05029993e-10! 5.64495228e-10! 3.35686826e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 8.40000014e-11! 0.00000000e+00! 0.00000000e+00! 9.72749992e-10! 0.00000000e+00! 1.63874990e-11! 7.36249950e-12! 0.00000000e+00! 0.00000000e+00! 1.66886713e-11! 1.02983759e-11! 2.21734939e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 8.50000018e-12! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
 2.18580600e+02! 1.59040000e+01! 4.93890000e+00! 4.65340000e+02! 2.63010000e+02! 6.43370000e-08! 8.17090000e-08! 4.41410000e-03! 4.71260000e-11! 8.23430000e-05! 1.19860000e-02! 0.00000000e+00! 2.28259994e-10! 5.68537772e-10! 3.42958301e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 7.68480002e-11! 0.00000000e+00! 0.00000000e+00! 9.99299976e-10! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 3.16999982e-10! 2.01119460e-12! 1.64760341e-11! 1.02162940e-11! 2.20411120e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
 2.18588900e+02! 1.57640000e+01! 4.75830000e+00! 4.65110000e+02! 2.63090000e+02! 6.80920000e-08! 7.66150000e-08! 3.01640000e-03! 2.68940000e-11! 6.96510000e-05! 1.17440000e-02! 0.00000000e+00! 3.28799987e-10! 5.42634937e-10! 2.96366022e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 5.08479994e-11! 0.00000000e+00! 0.00000000e+00! 8.86780038e-10! 0.00000000e+00! 2.85597882e-11! 1.28312092e-11! 2.86000001e-10! 0.00000000e+00! 1.57030326e-11! 9.91790157e-12! 2.15598650e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
 2.18589600e+02! 1.58250000e+01! 4.69450000e+00! 4.65210000e+02! 2.63410000e+02! 7.75700000e-08! 7.09100000e-08! 1.14180000e-03! 1.57610000e-11! 6.94400000e-05! 1.18240000e-02! 3.18740000e-11! 3.12130016e-10! 5.13625198e-10! 2.44185262e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 7.36039979e-11! 0.00000000e+00! 0.00000000e+00! 7.78669962e-10! 0.00000000e+00! 1.91902796e-11! 8.62171966e-12! 2.86000001e-10! 0.00000000e+00! 1.63795869e-11! 1.01790651e-11! 2.19810697e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
 2.18590300e+02! 1.58890000e+01! 4.63730000e+00! 4.65560000e+02! 2.63770000e+02! 7.80180000e-08! 7.18140000e-08! 1.38360000e-03! 2.47000000e-12! 6.63140000e-05! 1.18300000e-02! 9.52720056e-11! 3.49750007e-10! 5.18221965e-10! 2.52453683e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 4.61489978e-11! 0.00000000e+00! 0.00000000e+00! 8.16640033e-10! 0.00000000e+00! 8.80853984e-12! 3.95745979e-12! 0.00000000e+00! 0.00000000e+00! 1.55633267e-11! 9.86397249e-12! 2.14728912e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
 2.18591000e+02! 1.59450000e+01! 4.66660000e+00! 4.65360000e+02! 2.63900000e+02! 7.75390000e-08! 7.27330000e-08! 1.45040000e-03! 6.20000000e-13! 7.04390000e-05! 1.18660000e-02! 1.14830000e-10! 3.36790013e-10! 5.22895061e-10! 2.60859320e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 5.82919962e-11! 0.00000000e+00! 0.00000000e+00! 7.29059979e-10! 0.00000000e+00! 2.64787497e-11! 1.18962496e-11! 5.89999993e-11! 0.00000000e+00! 1.59243486e-11! 1.00033341e-11! 2.16976506e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 1.45209999e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
 2.18591700e+02! 1.59410000e+01! 4.74450000e+00! 4.65360000e+02! 2.63460000e+02! 7.49170000e-08! 7.33770000e-08! 2.00920000e-03! 3.66440000e-12! 7.42090000e-05! 1.18560000e-02! 1.45469997e-10! 3.00920011e-10! 5.26169774e-10! 2.66749661e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 9.13039991e-11! 0.00000000e+00! 0.00000000e+00! 8.56109961e-10! 0.00000000e+00! 1.35150294e-11! 6.07196975e-12! 3.79999976e-10! 0.00000000e+00! 1.69058240e-11! 1.03822012e-11! 2.23086879e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
 2.18592400e+02! 1.59450000e+01! 4.82300000e+00! 4.65490000e+02! 2.63330000e+02! 7.43980000e-08! 7.35570000e-08! 2.32160000e-03! 2.65240000e-12! 7.03550000e-05! 1.16640000e-02! 1.04309998e-10! 2.65920008e-10! 5.27085098e-10! 2.68396035e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 3.29999986e-11! 0.00000000e+00! 0.00000000e+00! 8.80000017e-10! 0.00000000e+00! 2.27699994e-11! 1.02300000e-11! 0.00000000e+00! 0.00000000e+00! 1.51723963e-11! 9.71306629e-12! 2.12295077e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
 2.18593100e+02! 1.59890000e+01! 4.89060000e+00! 4.65330000e+02! 2.63370000e+02! 7.18900000e-08! 7.44840000e-08! 2.89290000e-03! 8.69070000e-12! 6.80030000e-05! 1.17780000e-02! 1.09980004e-10! 2.22690005e-10! 5.31798883e-10! 2.76874842e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 7.09999975e-11! 0.00000000e+00! 0.00000000e+00! 7.10999981e-10! 0.00000000e+00! 1.72500000e-11! 7.74999943e-12! 1.72999989e-10! 0.00000000e+00! 1.63021697e-11! 1.01491792e-11! 2.19328705e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
 2.18593800e+02! 1.60460000e+01! 4.94980000e+00! 4.65350000e+02! 2.63430000e+02! 6.72010000e-08! 7.59220000e-08! 3.83100000e-03! 2.99740000e-11! 6.71140000e-05! 1.18340000e-02! 0.00000000e+00! 1.95179997e-10! 5.39111089e-10! 2.90027499e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 6.28119987e-11! 0.00000000e+00! 0.00000000e+00! 8.43400016e-10! 0.00000000e+00! 8.05022986e-13! 3.61676997e-13! 3.56999985e-10! 0.00000000e+00! 1.60587325e-11! 1.00552084e-11! 2.17813146e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 6.62500003e-12! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
 2.18595100e+02! 1.61580000e+01! 5.07200000e+00! 4.65430000e+02! 2.63550000e+02! 6.00010000e-08! 7.98480000e-08! 4.83350000e-03! 6.56190000e-11! 6.59150000e-05! 1.18100000e-02! 0.00000000e+00! 1.97920000e-10! 5.59074620e-10! 3.25936673e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 3.60429984e-11! 0.00000000e+00! 0.00000000e+00! 8.86169971e-10! 0.00000000e+00! 1.01298895e-12! 4.55110992e-13! 2.84999996e-10! 0.00000000e+00! 1.52628674e-11! 9.74798974e-12! 2.12858325e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 1.02550000e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
 2.18595800e+02! 1.62140000e+01! 5.13320000e+00! 4.65440000e+02! 2.63610000e+02! 6.06640000e-08! 7.98160000e-08! 4.86140000e-03! 6.95860000e-11! 6.60800000e-05! 1.19090000e-02! 0.00000000e+00! 2.41440007e-10! 5.78949999e-10! 2.17199991e-11! 0.00000000e+00! 2.51000002e-12! 5.11999991e-12! 2.99999999e-12! 4.01279981e-11! 8.78989992e-10! 0.00000000e+00! 9.93469973e-10! 1.67690001e-10! 0.00000000e+00! 0.00000000e+00! 3.54999974e-10! 7.95899943e-11! 1.53843171e-11! 9.79487151e-12! 2.13614439e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 3.90999993e-12! 0.00000000e+00! 2.69999995e-12! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 4.50000020e-12! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
 2.18596500e+02! 1.62700000e+01! 5.19430000e+00! 4.65350000e+02! 2.63840000e+02! 6.14600000e-08! 7.86060000e-08! 4.44900000e-03! 4.45970000e-11! 6.70870000e-05! 1.21240000e-02! 0.00000000e+00! 2.72749989e-10! 5.52759116e-10! 3.14576733e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 9.65000024e-11! 0.00000000e+00! 0.00000000e+00! 9.45750034e-10! 0.00000000e+00! 2.06999990e-11! 9.30000001e-12! 0.00000000e+00! 0.00000000e+00! 1.70603063e-11! 1.04418340e-11! 2.24048627e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
 2.18597200e+02! 1.63250000e+01! 5.25470000e+00! 4.65320000e+02! 2.63720000e+02! 6.21530000e-08! 7.86260000e-08! 4.45060000e-03! 4.45350000e-11! 6.67840000e-05! 1.21890000e-02! 0.00000000e+00! 2.57160016e-10! 5.52860813e-10! 3.14759642e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 3.98040004e-11! 0.00000000e+00! 0.00000000e+00! 9.43090050e-10! 0.00000000e+00! 1.45500300e-12! 6.53696986e-13! 3.43999995e-10! 0.00000000e+00! 1.53746842e-11! 9.79115313e-12! 2.13554469e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 2.54349992e-12! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
